"index","Type","subcategory"
52,"EMS","FALL VICTIM"
53,"EMS","RESPIRATORY EMERGENCY"
54,"EMS","ASSAULT VICTIM"
55,"EMS","FALL VICTIM"
56,"EMS","RESPIRATORY EMERGENCY"
57,"EMS","SUBJECT IN PAIN"
58,"EMS","SEIZURES"
59,"EMS","DIABETIC EMERGENCY"
60,"EMS","SUBJECT IN PAIN"
61,"EMS","UNKNOWN MEDICAL EMERGENCY"
62,"EMS","HEAD INJURY"
63,"Traffic","VEHICLE ACCIDENT -"
64,"Traffic","DISABLED VEHICLE -"
65,"EMS","FALL VICTIM"
66,"EMS","FALL VICTIM"
67,"Traffic","VEHICLE ACCIDENT -"
68,"EMS","SYNCOPAL EPISODE"
69,"Fire","CARBON MONOXIDE DETECTOR"
70,"EMS","MEDICAL ALERT ALARM"
71,"EMS","RESPIRATORY EMERGENCY"
72,"EMS","ABDOMINAL PAINS"
73,"Fire","FIRE ALARM"
74,"EMS","RESPIRATORY EMERGENCY"
75,"EMS","UNRESPONSIVE SUBJECT"
76,"Traffic","ROAD OBSTRUCTION -"
77,"Fire","PUMP DETAIL"
78,"Traffic","VEHICLE ACCIDENT -"
79,"Fire","FIRE INVESTIGATION"
80,"Traffic","VEHICLE ACCIDENT -"
81,"Traffic","DISABLED VEHICLE -"
82,"Traffic","DISABLED VEHICLE -"
83,"Traffic","VEHICLE ACCIDENT -"
84,"EMS","CVA/STROKE"
85,"EMS","FALL VICTIM"
86,"EMS","SEIZURES"
87,"EMS","CARDIAC EMERGENCY"
88,"EMS","OVERDOSE"
89,"Fire","FIRE ALARM"
90,"Traffic","VEHICLE ACCIDENT -"
91,"EMS","FALL VICTIM"
92,"Fire","GAS-ODOR/LEAK"
93,"EMS","ABDOMINAL PAINS"
94,"Fire","FIRE ALARM"
95,"Traffic","DISABLED VEHICLE -"
96,"EMS","SUBJECT IN PAIN"
97,"EMS","RESPIRATORY EMERGENCY"
98,"EMS","NAUSEA/VOMITING"
99,"EMS","ABDOMINAL PAINS"
100,"Traffic","DISABLED VEHICLE -"
101,"EMS","CARDIAC EMERGENCY"
102,"EMS","RESPIRATORY EMERGENCY"
103,"EMS","MATERNITY"
104,"EMS","HEAD INJURY"
105,"EMS","UNCONSCIOUS SUBJECT"
106,"EMS","SUBJECT IN PAIN"
107,"EMS","NAUSEA/VOMITING"
108,"EMS","HEMORRHAGING"
109,"EMS","DIZZINESS"
110,"Fire","FIRE ALARM"
111,"Traffic","VEHICLE ACCIDENT -"
112,"EMS","RESPIRATORY EMERGENCY"
113,"EMS","RESPIRATORY EMERGENCY"
114,"EMS","HEMORRHAGING"
115,"EMS","FALL VICTIM"
116,"Fire","FIRE ALARM"
117,"EMS","CHOKING"
118,"EMS","LACERATIONS"
119,"EMS","LACERATIONS"
120,"EMS","HEAD INJURY"
121,"EMS","MEDICAL ALERT ALARM"
122,"EMS","HEAD INJURY"
123,"Fire","FIRE ALARM"
124,"Fire","CARBON MONOXIDE DETECTOR"
125,"Fire","FIRE ALARM"
126,"Fire","TRASH/DUMPSTER FIRE"
127,"Traffic","DISABLED VEHICLE -"
128,"Traffic","VEHICLE ACCIDENT -"
129,"Fire","VEHICLE ACCIDENT"
130,"Fire","FIRE ALARM"
131,"EMS","RESPIRATORY EMERGENCY"
132,"EMS","DIZZINESS"
133,"EMS","RESPIRATORY EMERGENCY"
134,"EMS","MEDICAL ALERT ALARM"
135,"Traffic","VEHICLE ACCIDENT -"
136,"EMS","FALL VICTIM"
137,"EMS","GENERAL WEAKNESS"
138,"Traffic","DISABLED VEHICLE -"
139,"EMS","ABDOMINAL PAINS"
140,"EMS","MEDICAL ALERT ALARM"
141,"Traffic","VEHICLE ACCIDENT -"
142,"EMS","FALL VICTIM"
143,"Traffic","VEHICLE ACCIDENT -"
144,"Fire","GAS-ODOR/LEAK"
145,"Traffic","VEHICLE ACCIDENT -"
146,"Traffic","VEHICLE ACCIDENT -"
147,"EMS","HEMORRHAGING"
148,"Traffic","VEHICLE ACCIDENT -"
149,"EMS","RESPIRATORY EMERGENCY"
150,"Fire","UNKNOWN TYPE FIRE"
151,"EMS","UNRESPONSIVE SUBJECT"
152,"Traffic","VEHICLE ACCIDENT -"
153,"EMS","FALL VICTIM"
154,"Fire","BUILDING FIRE"
155,"Traffic","VEHICLE ACCIDENT -"
156,"Traffic","VEHICLE ACCIDENT -"
157,"Traffic","VEHICLE ACCIDENT -"
158,"Fire","ELECTRICAL FIRE OUTSIDE"
159,"Traffic","DISABLED VEHICLE -"
160,"EMS","SUBJECT IN PAIN"
161,"Traffic","VEHICLE ACCIDENT -"
162,"EMS","CARDIAC EMERGENCY"
163,"Traffic","VEHICLE ACCIDENT -"
164,"EMS","CVA/STROKE"
165,"Fire","FIRE ALARM"
166,"Fire","DEBRIS/FLUIDS ON HIGHWAY"
167,"Fire","FIRE ALARM"
168,"Traffic","DEBRIS/FLUIDS ON HIGHWAY -"
169,"Fire","DEBRIS/FLUIDS ON HIGHWAY"
170,"EMS","HEMORRHAGING"
171,"EMS","CARDIAC EMERGENCY"
172,"EMS","UNRESPONSIVE SUBJECT"
173,"Fire","GAS-ODOR/LEAK"
174,"Fire","FIRE ALARM"
175,"Fire","FIRE ALARM"
176,"EMS","MEDICAL ALERT ALARM"
177,"EMS","SYNCOPAL EPISODE"
178,"Fire","FIRE ALARM"
179,"EMS","GENERAL WEAKNESS"
180,"Traffic","VEHICLE ACCIDENT -"
181,"EMS","SEIZURES"
182,"Traffic","VEHICLE ACCIDENT -"
183,"EMS","RESPIRATORY EMERGENCY"
184,"EMS","CARDIAC EMERGENCY"
185,"Traffic","ROAD OBSTRUCTION -"
186,"EMS","UNCONSCIOUS SUBJECT"
187,"Fire","GAS-ODOR/LEAK"
188,"EMS","CVA/STROKE"
189,"Fire","FIRE INVESTIGATION"
190,"Traffic","VEHICLE ACCIDENT -"
191,"Traffic","ROAD OBSTRUCTION -"
192,"Traffic","VEHICLE ACCIDENT -"
193,"EMS","FALL VICTIM"
194,"EMS","UNKNOWN MEDICAL EMERGENCY"
195,"Traffic","VEHICLE ACCIDENT -"
196,"EMS","SYNCOPAL EPISODE"
197,"Fire","FIRE ALARM"
198,"EMS","SYNCOPAL EPISODE"
199,"EMS","HEMORRHAGING"
200,"Fire","FIRE ALARM"
201,"Traffic","VEHICLE ACCIDENT -"
202,"EMS","RESPIRATORY EMERGENCY"
203,"Fire","FIRE ALARM"
204,"EMS","FALL VICTIM"
205,"EMS","FEVER"
206,"Traffic","VEHICLE ACCIDENT -"
207,"Traffic","ROAD OBSTRUCTION -"
208,"Traffic","VEHICLE ACCIDENT -"
209,"Traffic","DISABLED VEHICLE -"
210,"EMS","SYNCOPAL EPISODE"
211,"EMS","SEIZURES"
212,"EMS","HEAD INJURY"
213,"EMS","HEAD INJURY"
214,"Traffic","VEHICLE ACCIDENT -"
215,"Fire","ELECTRICAL FIRE OUTSIDE"
216,"EMS","FALL VICTIM"
217,"EMS","HEMORRHAGING"
218,"EMS","UNRESPONSIVE SUBJECT"
219,"EMS","BACK PAINS/INJURY"
220,"Traffic","VEHICLE ACCIDENT -"
221,"EMS","HEAD INJURY"
222,"Fire","ELECTRICAL FIRE OUTSIDE"
223,"Traffic","VEHICLE ACCIDENT -"
224,"EMS","SYNCOPAL EPISODE"
225,"EMS","RESPIRATORY EMERGENCY"
226,"EMS","ABDOMINAL PAINS"
227,"EMS","RESPIRATORY EMERGENCY"
228,"EMS","ALLERGIC REACTION"
229,"EMS","DIZZINESS"
230,"EMS","HEAD INJURY"
231,"EMS","MEDICAL ALERT ALARM"
232,"Traffic","VEHICLE ACCIDENT -"
233,"EMS","LACERATIONS"
234,"EMS","UNCONSCIOUS SUBJECT"
235,"EMS","CVA/STROKE"
236,"EMS","FALL VICTIM"
237,"EMS","FALL VICTIM"
238,"EMS","SUBJECT IN PAIN"
239,"EMS","HEAD INJURY"
240,"Traffic","VEHICLE ACCIDENT -"
241,"Traffic","VEHICLE ACCIDENT -"
242,"EMS","SUBJECT IN PAIN"
243,"EMS","UNCONSCIOUS SUBJECT"
244,"Traffic","VEHICLE ACCIDENT -"
245,"EMS","HEAD INJURY"
246,"EMS","SUBJECT IN PAIN"
247,"EMS","SUBJECT IN PAIN"
248,"EMS","GENERAL WEAKNESS"
249,"EMS","UNCONSCIOUS SUBJECT"
250,"Fire","FIRE ALARM"
251,"EMS","MEDICAL ALERT ALARM"
252,"EMS","RESPIRATORY EMERGENCY"
253,"Traffic","VEHICLE ACCIDENT -"
254,"Traffic","VEHICLE ACCIDENT -"
255,"EMS","CARDIAC EMERGENCY"
256,"Fire","BUILDING FIRE"
257,"Traffic","ROAD OBSTRUCTION -"
258,"EMS","NAUSEA/VOMITING"
259,"EMS","FALL VICTIM"
260,"EMS","CARDIAC EMERGENCY"
261,"EMS","CVA/STROKE"
262,"Traffic","DISABLED VEHICLE -"
263,"Traffic","VEHICLE ACCIDENT -"
264,"EMS","ABDOMINAL PAINS"
265,"EMS","SYNCOPAL EPISODE"
266,"EMS","GENERAL WEAKNESS"
267,"EMS","RESPIRATORY EMERGENCY"
268,"EMS","FALL VICTIM"
269,"Traffic","VEHICLE ACCIDENT -"
270,"EMS","NAUSEA/VOMITING"
271,"Fire","FIRE ALARM"
272,"Traffic","VEHICLE ACCIDENT -"
273,"EMS","FALL VICTIM"
274,"Fire","FIRE ALARM"
275,"Fire","GAS-ODOR/LEAK"
276,"Fire","FIRE ALARM"
277,"Traffic","VEHICLE ACCIDENT -"
278,"EMS","DIZZINESS"
279,"Fire","FIRE ALARM"
280,"Traffic","DISABLED VEHICLE -"
281,"Traffic","VEHICLE ACCIDENT -"
282,"EMS","SYNCOPAL EPISODE"
283,"Traffic","DISABLED VEHICLE -"
284,"Traffic","ROAD OBSTRUCTION -"
285,"Traffic","VEHICLE ACCIDENT -"
286,"EMS","FALL VICTIM"
287,"Traffic","DISABLED VEHICLE -"
288,"Traffic","VEHICLE ACCIDENT -"
289,"EMS","FRACTURE"
290,"EMS","RESPIRATORY EMERGENCY"
291,"EMS","ABDOMINAL PAINS"
292,"EMS","HEMORRHAGING"
293,"EMS","VEHICLE ACCIDENT"
294,"Traffic","VEHICLE ACCIDENT -"
295,"Traffic","VEHICLE ACCIDENT -"
296,"Traffic","VEHICLE ACCIDENT -"
297,"EMS","VEHICLE ACCIDENT"
298,"Traffic","VEHICLE ACCIDENT -"
299,"Traffic","VEHICLE ACCIDENT -"
300,"Fire","VEHICLE ACCIDENT"
301,"EMS","FALL VICTIM"
302,"Fire","FIRE INVESTIGATION"
303,"Traffic","VEHICLE ACCIDENT -"
304,"Traffic","VEHICLE ACCIDENT -"
305,"Traffic","DISABLED VEHICLE -"
306,"EMS","MEDICAL ALERT ALARM"
307,"Fire","RESCUE - GENERAL"
308,"Fire","WOODS/FIELD FIRE"
309,"EMS","RESCUE - GENERAL"
310,"EMS","ALTERED MENTAL STATUS"
311,"Fire","FIRE ALARM"
312,"Fire","WOODS/FIELD FIRE"
313,"EMS","BACK PAINS/INJURY"
314,"EMS","DIABETIC EMERGENCY"
315,"EMS","DIABETIC EMERGENCY"
316,"EMS","OVERDOSE"
317,"EMS","VEHICLE ACCIDENT"
318,"Fire","VEHICLE ACCIDENT"
319,"Traffic","VEHICLE ACCIDENT -"
320,"Traffic","VEHICLE ACCIDENT -"
321,"EMS","FALL VICTIM"
322,"Traffic","ROAD OBSTRUCTION -"
323,"Traffic","VEHICLE ACCIDENT -"
324,"Traffic","DISABLED VEHICLE -"
325,"EMS","CARDIAC EMERGENCY"
326,"EMS","FEVER"
327,"Fire","FIRE SPECIAL SERVICE"
328,"Traffic","DISABLED VEHICLE -"
329,"Traffic","VEHICLE ACCIDENT -"
330,"EMS","UNKNOWN MEDICAL EMERGENCY"
331,"Traffic","VEHICLE ACCIDENT -"
332,"EMS","FALL VICTIM"
333,"Traffic","VEHICLE ACCIDENT -"
334,"EMS","CARDIAC EMERGENCY"
335,"EMS","SEIZURES"
336,"EMS","ASSAULT VICTIM"
337,"EMS","HEAD INJURY"
338,"Traffic","DISABLED VEHICLE -"
339,"Traffic","VEHICLE ACCIDENT -"
340,"Traffic","VEHICLE ACCIDENT -"
341,"Traffic","VEHICLE ACCIDENT -"
342,"Traffic","DISABLED VEHICLE -"
343,"Fire","FIRE ALARM"
344,"EMS","UNRESPONSIVE SUBJECT"
345,"Fire","BUILDING FIRE"
346,"Fire","VEHICLE FIRE"
347,"Traffic","VEHICLE FIRE -"
348,"Fire","FIRE ALARM"
349,"Traffic","VEHICLE ACCIDENT -"
350,"Traffic","VEHICLE ACCIDENT -"
351,"EMS","WARRANT SERVICE"
352,"EMS","CHOKING"
353,"EMS","HEAD INJURY"
354,"EMS","SYNCOPAL EPISODE"
355,"Traffic","ROAD OBSTRUCTION -"
356,"Traffic","VEHICLE ACCIDENT -"
357,"EMS","CARDIAC EMERGENCY"
358,"EMS","UNCONSCIOUS SUBJECT"
359,"EMS","UNRESPONSIVE SUBJECT"
360,"Traffic","VEHICLE ACCIDENT -"
361,"Fire","UNKNOWN TYPE FIRE"
362,"EMS","CVA/STROKE"
363,"EMS","BACK PAINS/INJURY"
364,"EMS","ALTERED MENTAL STATUS"
365,"EMS","ASSAULT VICTIM"
366,"Fire","FIRE ALARM"
367,"Traffic","VEHICLE ACCIDENT -"
368,"Traffic","DISABLED VEHICLE -"
369,"Fire","FIRE INVESTIGATION"
370,"EMS","UNRESPONSIVE SUBJECT"
371,"EMS","ALLERGIC REACTION"
372,"EMS","FALL VICTIM"
373,"Traffic","VEHICLE ACCIDENT -"
374,"EMS","CARDIAC EMERGENCY"
375,"Traffic","VEHICLE ACCIDENT -"
376,"EMS","VEHICLE ACCIDENT"
377,"Traffic","VEHICLE ACCIDENT -"
378,"Fire","VEHICLE ACCIDENT"
379,"EMS","SEIZURES"
380,"EMS","VEHICLE ACCIDENT"
381,"Traffic","VEHICLE ACCIDENT -"
382,"Traffic","VEHICLE ACCIDENT -"
383,"EMS","CARDIAC EMERGENCY"
384,"EMS","SEIZURES"
385,"Traffic","VEHICLE ACCIDENT -"
386,"Fire","VEHICLE ACCIDENT"
387,"EMS","RESPIRATORY EMERGENCY"
388,"EMS","CARDIAC EMERGENCY"
389,"EMS","FRACTURE"
390,"EMS","UNKNOWN MEDICAL EMERGENCY"
391,"EMS","FEVER"
392,"EMS","SEIZURES"
393,"EMS","VEHICLE ACCIDENT"
394,"Traffic","VEHICLE ACCIDENT -"
395,"Fire","FIRE ALARM"
396,"Traffic","DISABLED VEHICLE -"
397,"Traffic","VEHICLE ACCIDENT -"
398,"Fire","CARBON MONOXIDE DETECTOR"
399,"Traffic","VEHICLE ACCIDENT -"
400,"EMS","VEHICLE ACCIDENT"
401,"Traffic","VEHICLE ACCIDENT -"
402,"Fire","S/B AT HELICOPTER LANDING"
403,"Fire","FIRE ALARM"
404,"Traffic","ROAD OBSTRUCTION -"
405,"EMS","ABDOMINAL PAINS"
406,"EMS","CARDIAC EMERGENCY"
407,"Traffic","VEHICLE ACCIDENT -"
408,"Traffic","VEHICLE ACCIDENT -"
409,"Traffic","DISABLED VEHICLE -"
410,"Traffic","VEHICLE ACCIDENT -"
411,"Traffic","VEHICLE ACCIDENT -"
412,"Fire","FIRE ALARM"
413,"EMS","SUBJECT IN PAIN"
414,"Fire","FIRE ALARM"
415,"Traffic","DISABLED VEHICLE -"
416,"Traffic","DISABLED VEHICLE -"
417,"Traffic","DISABLED VEHICLE -"
418,"Traffic","VEHICLE ACCIDENT -"
419,"Traffic","VEHICLE ACCIDENT -"
420,"Traffic","VEHICLE ACCIDENT -"
421,"Fire","VEHICLE ACCIDENT"
422,"EMS","RESPIRATORY EMERGENCY"
423,"EMS","RESPIRATORY EMERGENCY"
424,"EMS","VEHICLE ACCIDENT"
425,"Traffic","VEHICLE ACCIDENT -"
426,"Fire","UNKNOWN TYPE FIRE"
427,"Traffic","VEHICLE ACCIDENT -"
428,"EMS","UNKNOWN MEDICAL EMERGENCY"
429,"EMS","CARDIAC EMERGENCY"
430,"EMS","UNKNOWN MEDICAL EMERGENCY"
431,"EMS","HEAD INJURY"
432,"EMS","CARDIAC EMERGENCY"
433,"Traffic","VEHICLE ACCIDENT -"
434,"EMS","HEAD INJURY"
435,"EMS","CARDIAC EMERGENCY"
436,"EMS","EMS SPECIAL SERVICE"
437,"Fire","FIRE ALARM"
438,"Traffic","VEHICLE ACCIDENT -"
439,"EMS","FALL VICTIM"
440,"Fire","GAS-ODOR/LEAK"
441,"Traffic","HAZARDOUS ROAD CONDITIONS -"
442,"EMS","MATERNITY"
443,"EMS","CARDIAC EMERGENCY"
444,"EMS","ABDOMINAL PAINS"
445,"EMS","ABDOMINAL PAINS"
446,"EMS","CARDIAC EMERGENCY"
447,"Traffic","VEHICLE ACCIDENT -"
448,"EMS","CARDIAC EMERGENCY"
449,"EMS","DIABETIC EMERGENCY"
450,"EMS","UNCONSCIOUS SUBJECT"
451,"EMS","ALTERED MENTAL STATUS"
452,"Fire","FIRE ALARM"
453,"EMS","RESCUE - GENERAL"
454,"Fire","RESCUE - GENERAL"
455,"EMS","CARDIAC EMERGENCY"
456,"Traffic","VEHICLE ACCIDENT -"
457,"Traffic","DISABLED VEHICLE -"
458,"Fire","FIRE ALARM"
459,"EMS","CARDIAC EMERGENCY"
460,"EMS","CARDIAC EMERGENCY"
461,"EMS","HEAD INJURY"
462,"EMS","NAUSEA/VOMITING"
463,"Fire","FIRE ALARM"
464,"EMS","FALL VICTIM"
465,"Traffic","VEHICLE ACCIDENT -"
466,"EMS","HEMORRHAGING"
467,"EMS","VEHICLE ACCIDENT"
468,"Traffic","VEHICLE ACCIDENT -"
469,"EMS","UNKNOWN MEDICAL EMERGENCY"
470,"EMS","VEHICLE ACCIDENT"
471,"Traffic","VEHICLE ACCIDENT -"
472,"Fire","FIRE ALARM"
473,"EMS","FALL VICTIM"
474,"Traffic","DISABLED VEHICLE -"
475,"Traffic","HAZARDOUS ROAD CONDITIONS -"
476,"EMS","UNRESPONSIVE SUBJECT"
477,"Traffic","VEHICLE ACCIDENT -"
478,"Fire","CARBON MONOXIDE DETECTOR"
479,"EMS","SEIZURES"
480,"EMS","RESPIRATORY EMERGENCY"
481,"EMS","ASSAULT VICTIM"
482,"Traffic","VEHICLE ACCIDENT -"
483,"EMS","RESPIRATORY EMERGENCY"
484,"EMS","CARDIAC EMERGENCY"
485,"EMS","UNRESPONSIVE SUBJECT"
486,"Fire","FIRE ALARM"
487,"Fire","FIRE ALARM"
488,"EMS","CARDIAC EMERGENCY"
489,"Traffic","VEHICLE ACCIDENT -"
490,"Fire","GAS-ODOR/LEAK"
491,"EMS","CARDIAC EMERGENCY"
492,"Fire","FIRE ALARM"
493,"EMS","CARDIAC EMERGENCY"
494,"EMS","HEMORRHAGING"
495,"EMS","ALTERED MENTAL STATUS"
496,"EMS","CARDIAC EMERGENCY"
497,"EMS","UNCONSCIOUS SUBJECT"
498,"EMS","CARDIAC EMERGENCY"
499,"Traffic","VEHICLE ACCIDENT -"
500,"EMS","GENERAL WEAKNESS"
501,"EMS","FALL VICTIM"
502,"Fire","RESCUE - ELEVATOR"
503,"EMS","GENERAL WEAKNESS"
504,"Traffic","VEHICLE ACCIDENT -"
505,"EMS","UNCONSCIOUS SUBJECT"
506,"EMS","MEDICAL ALERT ALARM"
507,"Fire","FIRE ALARM"
508,"EMS","CVA/STROKE"
509,"EMS","HEAD INJURY"
510,"Traffic","VEHICLE ACCIDENT -"
511,"Traffic","VEHICLE ACCIDENT -"
512,"EMS","VEHICLE ACCIDENT"
513,"Fire","VEHICLE ACCIDENT"
514,"Traffic","VEHICLE ACCIDENT -"
515,"EMS","HEMORRHAGING"
516,"EMS","UNKNOWN MEDICAL EMERGENCY"
517,"Traffic","VEHICLE ACCIDENT -"
518,"Traffic","VEHICLE ACCIDENT -"
519,"Traffic","VEHICLE ACCIDENT -"
520,"EMS","EMS SPECIAL SERVICE"
521,"Traffic","VEHICLE ACCIDENT -"
522,"Traffic","VEHICLE ACCIDENT -"
523,"EMS","SUBJECT IN PAIN"
524,"EMS","ALTERED MENTAL STATUS"
525,"Traffic","VEHICLE ACCIDENT -"
526,"EMS","SYNCOPAL EPISODE"
527,"EMS","CARDIAC EMERGENCY"
528,"EMS","ALTERED MENTAL STATUS"
529,"Fire","FIRE ALARM"
530,"EMS","VEHICLE ACCIDENT"
531,"Traffic","VEHICLE ACCIDENT -"
532,"EMS","FIRE SPECIAL SERVICE"
533,"EMS","HEMORRHAGING"
534,"Fire","FIRE SPECIAL SERVICE"
535,"Fire","GAS-ODOR/LEAK"
536,"EMS","CARDIAC EMERGENCY"
537,"Traffic","VEHICLE ACCIDENT -"
538,"Traffic","VEHICLE ACCIDENT -"
539,"Fire","FIRE INVESTIGATION"
540,"EMS","FALL VICTIM"
541,"EMS","UNRESPONSIVE SUBJECT"
542,"Traffic","VEHICLE ACCIDENT -"
543,"Fire","FIRE ALARM"
544,"EMS","UNRESPONSIVE SUBJECT"
545,"EMS","DIZZINESS"
546,"EMS","HEAD INJURY"
547,"EMS","FALL VICTIM"
548,"Fire","S/B AT HELICOPTER LANDING"
549,"Fire","GAS-ODOR/LEAK"
550,"Fire","FIRE ALARM"
551,"EMS","NAUSEA/VOMITING"
552,"Traffic","ROAD OBSTRUCTION -"
553,"Fire","FIRE SPECIAL SERVICE"
554,"Traffic","VEHICLE ACCIDENT -"
555,"Traffic","VEHICLE ACCIDENT -"
556,"Traffic","VEHICLE ACCIDENT -"
557,"EMS","CARDIAC EMERGENCY"
558,"EMS","UNKNOWN MEDICAL EMERGENCY"
559,"Traffic","VEHICLE ACCIDENT -"
560,"EMS","ALLERGIC REACTION"
561,"EMS","FALL VICTIM"
562,"Fire","FIRE ALARM"
563,"Traffic","VEHICLE ACCIDENT -"
564,"EMS","SYNCOPAL EPISODE"
565,"EMS","VEHICLE ACCIDENT"
566,"Traffic","VEHICLE ACCIDENT -"
567,"Traffic","VEHICLE ACCIDENT -"
568,"EMS","HEMORRHAGING"
569,"EMS","ASSAULT VICTIM"
570,"Traffic","VEHICLE ACCIDENT -"
571,"Traffic","VEHICLE ACCIDENT -"
572,"Traffic","VEHICLE ACCIDENT -"
573,"Fire","FIRE ALARM"
574,"Traffic","VEHICLE ACCIDENT -"
575,"Traffic","VEHICLE ACCIDENT -"
576,"Traffic","VEHICLE ACCIDENT -"
577,"Traffic","VEHICLE ACCIDENT -"
578,"EMS","SUBJECT IN PAIN"
579,"Traffic","VEHICLE ACCIDENT -"
580,"EMS","VEHICLE ACCIDENT"
581,"Traffic","DISABLED VEHICLE -"
582,"EMS","NAUSEA/VOMITING"
583,"Traffic","VEHICLE ACCIDENT -"
584,"EMS","RESPIRATORY EMERGENCY"
585,"Fire","S/B AT HELICOPTER LANDING"
586,"Fire","APPLIANCE FIRE"
587,"Traffic","VEHICLE ACCIDENT -"
588,"Traffic","VEHICLE ACCIDENT -"
589,"EMS","CARDIAC EMERGENCY"
590,"EMS","FALL VICTIM"
591,"EMS","RESPIRATORY EMERGENCY"
592,"EMS","SEIZURES"
593,"EMS","FALL VICTIM"
594,"EMS","GENERAL WEAKNESS"
595,"EMS","SUBJECT IN PAIN"
596,"Traffic","VEHICLE ACCIDENT -"
597,"EMS","CHOKING"
598,"Fire","CARBON MONOXIDE DETECTOR"
599,"Traffic","VEHICLE ACCIDENT -"
600,"Traffic","VEHICLE ACCIDENT -"
601,"Traffic","VEHICLE ACCIDENT -"
602,"EMS","SYNCOPAL EPISODE"
603,"Traffic","VEHICLE ACCIDENT -"
604,"EMS","VEHICLE ACCIDENT"
605,"Traffic","VEHICLE ACCIDENT -"
606,"Traffic","VEHICLE ACCIDENT -"
607,"EMS","ABDOMINAL PAINS"
608,"Traffic","VEHICLE ACCIDENT -"
609,"EMS","CARDIAC EMERGENCY"
610,"Traffic","VEHICLE ACCIDENT -"
611,"EMS","SUBJECT IN PAIN"
612,"EMS","CARDIAC EMERGENCY"
613,"EMS","FALL VICTIM"
614,"EMS","FRACTURE"
615,"Traffic","VEHICLE ACCIDENT -"
616,"EMS","FALL VICTIM"
617,"Fire","FIRE ALARM"
618,"EMS","RESPIRATORY EMERGENCY"
619,"Fire","FIRE ALARM"
620,"Traffic","DISABLED VEHICLE -"
621,"EMS","HEAD INJURY"
622,"EMS","RESPIRATORY EMERGENCY"
623,"EMS","RESPIRATORY EMERGENCY"
624,"EMS","SYNCOPAL EPISODE"
625,"Traffic","DISABLED VEHICLE -"
626,"Traffic","DISABLED VEHICLE -"
627,"Traffic","DISABLED VEHICLE -"
628,"EMS","CARDIAC EMERGENCY"
629,"EMS","OVERDOSE"
630,"EMS","CARDIAC EMERGENCY"
631,"Traffic","VEHICLE ACCIDENT -"
632,"EMS","UNKNOWN MEDICAL EMERGENCY"
633,"EMS","ALTERED MENTAL STATUS"
634,"EMS","UNRESPONSIVE SUBJECT"
635,"Traffic","DISABLED VEHICLE -"
636,"Traffic","DISABLED VEHICLE -"
637,"EMS","RESPIRATORY EMERGENCY"
638,"Fire","CARBON MONOXIDE DETECTOR"
639,"EMS","FALL VICTIM"
640,"EMS","UNCONSCIOUS SUBJECT"
641,"EMS","HEAD INJURY"
642,"Traffic","VEHICLE ACCIDENT -"
643,"Traffic","VEHICLE ACCIDENT -"
644,"EMS","FALL VICTIM"
645,"Traffic","VEHICLE ACCIDENT -"
646,"Fire","VEHICLE ACCIDENT"
